schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,content.pricingMethod,collectedAt
1.0,PRODUCT,Product Hunt / Venture Index,https://chatgpt.com,OpenAI,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://platform.openai.com,OpenAI,PAID,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://claude.ai,Anthropic,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://mistral.ai/le-chat,Mistral AI,FREE,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://perplexity.ai,Perplexity AI,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://midjourney.com,Midjourney,PAID,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://cursor.com,Cursor,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://replit.com,Replit,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://elevenlabs.io,ElevenLabs,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://runwayml.com,Runway,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://scale.com,Scale AI,ENTERPRISE,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://pinecone.io,Pinecone,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://weaviate.io,Weaviate,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://qdrant.tech,Qdrant,FREE,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Product Hunt / Venture Index,https://smith.langchain.com,LangChain,FREEMIUM,SOURCE_METADATA,2026-09-10T07:40:37.396938+00:00
1.0,PRODUCT,Hugging Face Spaces,https://huggingface.co/spaces/kulkas2pintu/wan555,Kulkas2Pintu,UNKNOWN,INSUFFICIENT_TEXT_INFO,2026-09-10T07:40:37.396938+00:00
